chompMax,chompProb,calmProb,dogsW,catsW,birdsW,fishW,capyW,draws,avgCapyAlive,avgTicks,avgHpCats,avgHpDogs,avgHpBirds,avgHpFish,avgHpCapy
22,0.74,0.2,0,1,0,0,199,0,1.46,6840,4.41,0,0,10.56,102.4
22,0.74,0.28,0,1,0,0,199,0,1.4,6873,3.96,0,0,10.75,96.63
22,0.62,0.12,0,0,0,0,200,0,1.53,3460,4.55,0,0,0,105
22,0.5,0.12,0,0,0,0,200,0,1.55,3174,3.75,0,0,0,108.59
18,0.5,0.28,0,1,0,1,198,0,1.7,5975,12.98,0,0,3.7,134.26
18,0.74,0.28,0,2,0,6,192,0,1.66,5797,9.72,0,0,6.23,101.12
22,0.5,0.2,0,0,0,0,200,0,1.63,3011,4.49,0,0,0,120.36
22,0.62,0.28,0,0,0,1,199,0,1.67,6500,7.91,0,0,7.84,118.04
